bidding,date,year,quota,quota_premium,total_bids_received,number_of_successful_bids,quota_cat_b,quota_premium_cat_b,total_bids_received_cat_b,quota_per_bid,regis_cat_a,regis_cat_b,total_cars_cat_a,total_cars_cat_b,car_age_younger_than_10,car_age_older_than_10,pqp_cat_a,pqp_cat_b,cpi_all,cpi_transport,cpi_private_transport,cpi_cars,cpi_transport_accessories,cpi_petrol,cpi_lubricants,cpi_maintenance,cpi_transport_others,cpi_transport_insurance,cpi_land_transport,cpi_bus_train_fare,cpi_ptp_transport_services,cpi_commuting_fares,cpi_other_land_transport_services,sora_1m,sti_close,catA_is_cc_only_1600,catA_is_cc_mpo_97,catA_is_cc_mpo_97_or_ev110,vgr_annual_percent,car_loan_tenure_cap_years,car_loan_ltv_cap_omv_le_20000,car_loan_ltv_cap_omv_gt_20000,tdsr_threshold,arf_is_flat_100pct,arf_is_tiered_100_140_180,arf_is_plus_220_over_80k,arf_is_revised_2023_plus_320_over_80k,parf_rebate_cap,ves_active,eeai_active,eeai_arf_rebate_cap,ev_arf_floor_zero_active
January 2026 Second Open Bidding Exercise,2026-01-21,2026,1301.0,109501.0,2303.0,1277.0,803.0,121634.0,1207.0,1277.0,,,,,,,107571,120772,,,,,,,,,,,,,,,,1.1241,4809.8798828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0
January 2026 First Open Bidding Exercise,2026-01-07,2026,1285.0,102009.0,1658.0,1284.0,824.0,119100.0,1128.0,1277.0,,,,,,,107571,120772,,,,,,,,,,,,,,,,1.1756,4747.6201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0
December 2025 Second Open Bidding Exercise,2025-12-17,2025,1283.0,109501.0,1647.0,1259.0,838.0,115102.0,968.0,1277.0,3418,2915,322377,337060,,,114004,126131,101.9,104.4,103.5,106.8,101.9,98.1,100.4,105.9,100.4,104.4,107,106.7,107.7,104.1,105.6,1.1886,4575.47998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
December 2025 First Open Bidding Exercise,2025-12-03,2025,1280.0,105413.0,1557.0,1272.0,802.0,123900.0,1096.0,1277.0,3418,2915,322377,337060,,,114004,126131,101.9,104.4,103.5,106.8,101.9,98.1,100.4,105.9,100.4,104.4,107,106.7,107.7,104.1,105.6,1.1212,4554.52001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2025 Second Open Bidding Exercise,2025-11-19,2025,1285.0,109000.0,1587.0,1279.0,806.0,129890.0,1514.0,1277.0,2425,1938,321636,336172,,,116000,130362,101.6,103.4,103.8,106.8,102.7,98.3,100.2,105.9,101.1,108.4,106,105.9,106.5,104.1,100.8,1.1059,4505.22021484375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2025 First Open Bidding Exercise,2025-11-05,2025,1306.0,110002.0,1682.0,1303.0,800.0,115001.0,953.0,1277.0,2425,1938,321636,336172,,,116000,130362,101.6,103.4,103.8,106.8,102.7,98.3,100.2,105.9,101.1,108.4,106,105.9,106.5,104.1,100.8,1.2360,4417.1201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2025 Second Open Bidding Exercise,2025-10-23,2025,1270.0,122000.0,1968.0,1262.0,809.0,131889.0,977.0,1264.0,2110,1830,321522,336111,,,113922,130863,101.3,104.8,105.8,111.3,102.7,96.8,98.8,105.7,101,104,105.4,105.9,105.1,104.1,102.7,1.2784,4416.27001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2025 First Open Bidding Exercise,2025-10-08,2025,1268.0,128105.0,2572.0,1239.0,830.0,141000.0,1202.0,1264.0,2110,1830,321522,336111,,,113922,130863,101.3,104.8,105.8,111.3,102.7,96.8,98.8,105.7,101,104,105.4,105.9,105.1,104.1,102.7,1.3206,4456.2998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2025 Second Open Bidding Exercise,2025-09-17,2025,1272.0,119003.0,2521.0,1266.0,792.0,136890.0,1273.0,1264.0,2522,2145,322084,336292,,,105939,125165,101.3,103.7,104.5,108.5,102.5,97.6,99.3,105.7,101.2,103.1,105.9,105.9,106.4,104.1,97.2,1.3057,4323.77978515625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2025 First Open Bidding Exercise,2025-09-03,2025,1275.0,107889.0,1844.0,1271.0,790.0,127501.0,1186.0,1264.0,2522,2145,322084,336292,,,105939,125165,101.3,103.7,104.5,108.5,102.5,97.6,99.3,105.7,101.2,103.1,105.9,105.9,106.4,104.1,97.2,1.3144,4289.330078125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2025 Second Open Bidding Exercise,2025-08-20,2025,1264.0,104524.0,1922.0,1257.0,792.0,124400.0,1221.0,1264.0,2757,1872,322505,336121,,,100644,119379,101,102.1,102.4,104.8,102.5,97.2,98.9,105.7,100.9,103.1,104.8,105.9,103.7,104.1,97.2,1.5773,4219.5400390625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2025 First Open Bidding Exercise,2025-08-06,2025,1268.0,102009.0,1755.0,1257.0,789.0,123498.0,1271.0,1264.0,2757,1872,322505,336121,,,100644,119379,101,102.1,102.4,104.8,102.5,97.2,98.9,105.7,100.9,103.1,104.8,105.9,103.7,104.1,97.2,1.6320,4227.7001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
July 2025 Second Open Bidding Exercise,2025-07-23,2025,1253.0,101102.0,1874.0,1253.0,784.0,119101.0,1148.0,1252.0,2642,1961,322639,336272,,,100473,117542,100.4,101.8,102.4,103.7,102.3,99.5,99.6,105.7,100.7,103.1,103.7,105.9,101.3,104.1,94.3,1.5574,4231.27978515625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
July 2025 First Open Bidding Exercise,2025-07-09,2025,1253.0,101102.0,1918.0,1250.0,781.0,119600.0,1199.0,1252.0,2642,1961,322639,336272,,,100473,117542,100.4,101.8,102.4,103.7,102.3,99.5,99.6,105.7,100.7,103.1,103.7,105.9,101.3,104.1,94.3,1.6733,4057.820068359375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
June 2025 Second Open Bidding Exercise,2025-06-18,2025,1254.0,98124.0,1647.0,1253.0,784.0,116670.0,1163.0,1252.0,2571,2029,322188,336181,,,99643,116909,100.9,101.6,101.5,102.3,102.6,99.4,98.9,104.1,100.3,105.9,104.5,105.9,103.2,104.1,94.9,1.9108,3920.81005859375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
June 2025 First Open Bidding Exercise,2025-06-04,2025,1275.0,96999.0,1691.0,1274.0,795.0,113000.0,974.0,1252.0,2571,2029,322188,336181,,,99643,116909,100.9,101.6,101.5,102.3,102.6,99.4,98.9,104.1,100.3,105.9,104.5,105.9,103.2,104.1,94.9,2.1723,3903.8798828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
May 2025 Second Open Bidding Exercise,2025-05-21,2025,1267.0,102501.0,1915.0,1265.0,782.0,116988.0,1093.0,1252.0,2225,2208,321905,336121,,,98328,116945,101,101.8,101.7,103.5,102.5,97.8,98.6,104.1,100.3,103.3,104.9,105.9,104.2,104.1,95.7,2.1953,3882.550048828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
May 2025 First Open Bidding Exercise,2025-05-07,2025,1267.0,103009.0,2240.0,1244.0,813.0,119890.0,1210.0,1252.0,2225,2208,321905,336121,,,98328,116945,101,101.8,101.7,103.5,102.5,97.8,98.6,104.1,100.3,103.3,104.9,105.9,104.2,104.1,95.7,2.2398,3865.3701171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
April 2025 Second Open Bidding Exercise,2025-04-23,2025,1139.0,99500.0,2121.0,1124.0,744.0,117003.0,1098.0,1138.0,2106,1828,321792,335848,,,93718,114249,100.3,101.9,101.7,102.8,102.3,98.8,99.8,104,100.5,103.3,104.4,105.9,102.9,104.1,96.5,2.3258,3832.320068359375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
April 2025 First Open Bidding Exercise,2025-04-09,2025,1138.0,97724.0,2162.0,1122.0,760.0,117899.0,1200.0,1138.0,2106,1828,321792,335848,,,93718,114249,100.3,101.9,101.7,102.8,102.3,98.8,99.8,104,100.5,103.3,104.4,105.9,102.9,104.1,96.5,2.3707,3393.68994140625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
March 2025 Second Open Bidding Exercise,2025-03-19,2025,1138.0,94502.0,1951.0,1137.0,747.0,116890.0,1196.0,1138.0,2104,2217,321650,335894,,,92064,114787,100.6,101.2,100.7,101.4,101.8,97.7,99.8,103.7,100.6,104.4,105.4,105.9,105.3,104.1,96.8,2.3354,3908.31005859375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
March 2025 First Open Bidding Exercise,2025-03-05,2025,1144.0,92730.0,2034.0,1144.0,765.0,113000.0,1208.0,1138.0,2104,2217,321650,335894,,,92064,114787,100.6,101.2,100.7,101.4,101.8,97.7,99.8,103.7,100.6,104.4,105.4,105.9,105.3,104.1,96.8,2.4407,3898.39990234375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
February 2025 Second Open Bidding Exercise,2025-02-19,2025,1149.0,92850.0,2290.0,1149.0,744.0,109598.0,1135.0,1138.0,2429,1442,321616,335423,,,92525,111807,100.7,101.5,100.7,100,101.3,101.5,101.5,103.5,100.9,103.2,105.3,105.9,104.5,104.1,105.7,2.6428,3934.0400390625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
February 2025 First Open Bidding Exercise,2025-02-05,2025,1138.0,85000.0,1446.0,1132.0,748.0,111104.0,1007.0,1138.0,2429,1442,321616,335423,,,92525,111807,100.7,101.5,100.7,100,101.3,101.5,101.5,103.5,100.9,103.2,105.3,105.9,104.5,104.1,105.7,2.7906,3815.3701171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
January 2025 Second Open Bidding Exercise,2025-01-22,2025,1069.0,93601.0,1484.0,1058.0,686.0,116625.0,1071.0,1032.0,1352,1335,320891,335477,,,94513,110537,99.9,102.3,101.5,102.4,100.6,100.3,100.4,104,100.1,103.2,103.8,105.9,101.3,104.1,100.5,2.6592,3781.2099609375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
January 2025 First Open Bidding Exercise,2025-01-08,2025,1034.0,93699.0,1381.0,1034.0,677.0,121501.0,1266.0,1032.0,1352,1335,320891,335477,,,94513,110537,99.9,102.3,101.5,102.4,100.6,100.3,100.4,104,100.1,103.2,103.8,105.9,101.3,104.1,100.5,2.8583,3886.97998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
December 2024 Second Open Bidding Exercise,2024-12-18,2024,1035.0,96000.0,1506.0,998.0,676.0,109000.0,987.0,1032.0,2928,2350,321611,335675,557429.0,657744.0,97747,109164,100.7,100.8,99.8,99.7,100.2,99.3,98.8,103.5,99.9,103.2,101.3,100.7,102.3,100,99.4,3.0341,3779.6201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
December 2024 First Open Bidding Exercise,2024-12-04,2024,1037.0,94000.0,1475.0,1034.0,689.0,103010.0,866.0,1032.0,2928,2350,321611,335675,557429.0,657744.0,97747,109164,100.7,100.8,99.8,99.7,100.2,99.3,98.8,103.5,99.9,103.2,101.3,100.7,102.3,100,99.4,2.9947,3799.93994140625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2024 Second Open Bidding Exercise,2024-11-20,2024,1041.0,89889.0,1320.0,1038.0,678.0,105081.0,874.0,1032.0,1929,1645,320656,334866,557429.0,657744.0,98582,109880,100.4,100.2,100.3,99.9,100.3,100.4,99.2,103.5,100.3,103.2,100.3,99.9,100.8,100,99.5,3.0492,3743.639892578125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2024 First Open Bidding Exercise,2024-11-06,2024,1040.0,99889.0,1338.0,1035.0,696.0,108001.0,1039.0,1032.0,1929,1645,320656,334866,557429.0,657744.0,98582,109880,100.4,100.2,100.3,99.9,100.3,100.4,99.2,103.5,100.3,103.2,100.3,99.9,100.8,100,99.5,3.1124,3602.989990234375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2024 Second Open Bidding Exercise,2024-10-23,2024,1058.0,102900.0,1499.0,1048.0,670.0,113890.0,975.0,977.0,1939,1455,320148,334612,557429.0,657744.0,98317,109698,100.1,101.4,101.9,102.8,100.1,100.6,99.5,103.5,100.3,103.2,101.6,99.9,104,100,99.8,3.2664,3600.780029296875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2024 First Open Bidding Exercise,2024-10-09,2024,994.0,103799.0,1604.0,986.0,671.0,116002.0,1084.0,977.0,1939,1455,320148,334612,557429.0,657744.0,98317,109698,100.1,101.4,101.9,102.8,100.1,100.6,99.5,103.5,100.3,103.2,101.6,99.9,104,100,99.8,3.4364,3595.659912109375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2024 Second Open Bidding Exercise,2024-09-18,2024,990.0,98524.0,1377.0,909.0,663.0,110001.0,879.0,977.0,2178,1927,320115,334638,557429.0,657744.0,94351,104866,100.6,100.3,100.7,101.1,100.3,99,99.1,103.5,100.5,99.7,100.5,99.9,101.2,100,100.2,3.4505,3592.419921875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2024 First Open Bidding Exercise,2024-09-04,2024,983.0,96490.0,1308.0,966.0,665.0,106300.0,924.0,977.0,2178,1927,320115,334638,557429.0,657744.0,94351,104866,100.6,100.3,100.7,101.1,100.3,99,99.1,103.5,100.5,99.7,100.5,99.9,101.2,100,100.2,3.4788,3441.3798828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2024 Second Open Bidding Exercise,2024-08-21,2024,978.0,93900.0,1314.0,966.0,686.0,105889.0,985.0,977.0,2092,1829,319824,334038,557429.0,657744.0,91697,102639,100.4,99.7,100,100.2,100.4,98.2,99.3,103.5,100.1,99.7,99.3,99.9,98.2,100,101.2,3.5743,3373.760009765625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2024 First Open Bidding Exercise,2024-08-07,2024,1013.0,94289.0,1570.0,1007.0,663.0,106101.0,1150.0,977.0,2092,1829,319824,334038,557429.0,657744.0,91697,102639,100.4,99.7,100,100.2,100.4,98.2,99.3,103.5,100.1,99.7,99.3,99.9,98.2,100,101.2,3.5547,3249.719970703125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
July 2024 Second Open Bidding Exercise,2024-07-17,2024,973.0,91899.0,1342.0,972.0,661.0,100000.0,891.0,962.0,2219,1679,319508,333430,557429.0,657744.0,91383,102423,99.8,99.7,100.2,99.5,99.8,101.3,101.1,103.5,100.3,99.7,98.9,99.9,97.6,100,97.9,3.5425,3489.570068359375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
July 2024 First Open Bidding Exercise,2024-07-03,2024,967.0,91001.0,1429.0,932.0,671.0,100901.0,896.0,962.0,2219,1679,319508,333430,557429.0,657744.0,91383,102423,99.8,99.7,100.2,99.5,99.8,101.3,101.1,103.5,100.3,99.7,98.9,99.9,97.6,100,97.9,3.6537,3415.510009765625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
June 2024 Second Open Bidding Exercise,2024-06-20,2024,966.0,90889.0,1403.0,955.0,674.0,102334.0,1046.0,962.0,1983,1776,318510,332843,557429.0,657744.0,91401,102828,100.1,99.6,99.5,99.7,100.3,99.8,99.8,97.5,99.5,99,99.4,99.9,98.7,100,99.2,3.6655,3300.0,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
June 2024 First Open Bidding Exercise,2024-06-05,2024,962.0,88200.0,1467.0,957.0,685.0,100607.0,974.0,962.0,1983,1776,318510,332843,557429.0,657744.0,91401,102828,100.1,99.6,99.5,99.7,100.3,99.8,99.8,97.5,99.5,99,99.4,99.9,98.7,100,99.2,3.6877,3330.010009765625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
May 2024 Second Open Bidding Exercise,2024-05-23,2024,983.0,92700.0,1444.0,980.0,658.0,105689.0,1099.0,962.0,1726,1450,317586,331962,557429.0,657744.0,89634,101008,100.2,100.1,100.6,101.2,99.8,101.5,101.3,96.3,99.6,99,99.2,99.9,98.3,100,98.2,3.6856,3322.6201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
May 2024 First Open Bidding Exercise,2024-05-08,2024,968.0,93604.0,1632.0,968.0,666.0,105002.0,1237.0,962.0,1726,1450,317586,331962,557429.0,657744.0,89634,101008,100.2,100.1,100.6,101.2,99.8,101.5,101.3,96.3,99.6,99,99.2,99.9,98.3,100,98.2,3.5654,3264.530029296875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
April 2024 Second Open Bidding Exercise,2024-04-17,2024,936.0,94010.0,1390.0,916.0,690.0,102001.0,1008.0,935.0,1947,1482,317617,331539,557429.0,657744.0,84550,99116,99.4,100.1,100.3,100,99.9,102.5,101.5,96.3,100,99,99.5,99.9,98.8,100,99.1,3.6802,3154.68994140625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
April 2024 First Open Bidding Exercise,2024-04-03,2024,975.0,89000.0,1922.0,970.0,653.0,101334.0,1208.0,935.0,1947,1482,317617,331539,557429.0,657744.0,84550,99116,99.4,100.1,100.3,100,99.9,102.5,101.5,96.3,100,99,99.5,99.9,98.8,100,99.1,3.7448,3222.659912109375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
March 2024 Second Open Bidding Exercise,2024-03-20,2024,936.0,85489.0,1922.0,935.0,656.0,96011.0,1066.0,935.0,1884,1595,318176,331109,557429.0,657744.0,78482,98062,99.7,99.4,98.7,98,100.3,99.7,100.6,96.3,99.9,98.1,101.1,99.9,102.9,100,100.1,3.6770,3177.47998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
March 2024 First Open Bidding Exercise,2024-03-06,2024,963.0,83000.0,1866.0,923.0,708.0,96010.0,1073.0,935.0,1884,1595,318176,331109,557429.0,657744.0,78482,98062,99.7,99.4,98.7,98,100.3,99.7,100.6,96.3,99.9,98.1,101.1,99.9,102.9,100,100.1,3.6734,3136.139892578125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
February 2024 Second Open Bidding Exercise,2024-02-21,2024,937.0,76801.0,1909.0,936.0,649.0,97000.0,1034.0,935.0,1355,1027,318712,330760,557429.0,657744.0,79237,106075,99.8,99.6,99.1,98.8,99.1,100,100.9,96.5,99.9,98.1,99.9,99.9,99.3,100,108.3,3.5541,3217.110107421875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
February 2024 First Open Bidding Exercise,2024-02-07,2024,938.0,79000.0,1931.0,910.0,655.0,102338.0,1163.0,935.0,1355,1027,318712,330760,557429.0,657744.0,79237,106075,99.8,99.6,99.1,98.8,99.1,100,100.9,96.5,99.9,98.1,99.9,99.9,99.3,100,108.3,3.5842,3156.14990234375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
January 2024 Second Open Bidding Exercise,2024-01-17,2024,923.0,81589.0,1880.0,921.0,657.0,112000.0,1308.0,919.0,1110,1074,319029,330845,557429.0,657744.0,83385,113742,98.8,99.2,98.8,99.1,99.3,97.7,99,96.3,99.8,98.1,99,99.9,97.8,100,97.2,3.6141,3142.219970703125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
January 2024 First Open Bidding Exercise,2024-01-04,2024,924.0,65010.0,1184.0,920.0,633.0,85010.0,850.0,919.0,1110,1074,319029,330845,557429.0,657744.0,83385,113742,98.8,99.2,98.8,99.1,99.3,97.7,99,96.3,99.8,98.1,99,99.9,97.8,100,97.2,3.6530,3174.010009765625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
December 2023 Second Open Bidding Exercise,2023-12-20,2023,919.0,85000.0,1166.0,915.0,643.0,110001.0,847.0,919.0,2593,2125,319837,331007,539621.0,651302.0,93952,130241,99.2,100.5,100.7,102.2,,97.3,99.2,,,,95.4,95.3,95.3,94.5,,3.7285,3108.030029296875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
December 2023 First Open Bidding Exercise,2023-12-06,2023,928.0,88020.0,1233.0,923.0,638.0,130100.0,933.0,919.0,2593,2125,319837,331007,539621.0,651302.0,93952,130241,99.2,100.5,100.7,102.2,,97.3,99.2,,,,95.4,95.3,95.3,94.5,,3.6500,3087.239990234375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
November 2023 Second Open Bidding Exercise,2023-11-22,2023,925.0,85001.0,1291.0,925.0,648.0,135336.0,1228.0,919.0,1395,1084,319183,329927,539621.0,651302.0,99449,136187,98.8,100,101.3,102.5,,99,101.5,,,,93,93.4,91.8,94.5,,3.7085,3114.919921875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
November 2023 First Open Bidding Exercise,2023-11-08,2023,924.0,95689.0,1165.0,915.0,636.0,110001.0,830.0,919.0,1395,1084,319183,329927,539621.0,651302.0,99449,136187,98.8,100,101.3,102.5,,99,101.5,,,,93,93.4,91.8,94.5,,3.7592,3129.719970703125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
October 2023 Second Open Bidding Exercise,2023-10-18,2023,797.0,106000.0,1028.0,791.0,472.0,150001.0,623.0,681.0,1269,1053,319442,329884,539621.0,651302.0,102584,138094,99,103.2,105.6,108.4,,100.6,103.2,,,,93.6,93.4,93.6,94.5,,3.7397,3136.6201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
October 2023 First Open Bidding Exercise,2023-10-04,2023,785.0,104000.0,1039.0,779.0,474.0,146002.0,643.0,681.0,1269,1053,319442,329884,539621.0,651302.0,102584,138094,99,103.2,105.6,108.4,,100.6,103.2,,,,93.6,93.4,93.6,94.5,,3.7709,3147.389892578125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
September 2023 Second Open Bidding Exercise,2023-09-20,2023,651.0,105000.0,864.0,635.0,496.0,140889.0,735.0,681.0,1292,1077,319715,329854,539621.0,651302.0,99617,128094,98.8,101.9,104,105.7,,101.9,102.2,,,,93.4,93.4,93.2,94.5,,3.7586,3242.0,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
September 2023 First Open Bidding Exercise,2023-09-06,2023,645.0,101000.0,840.0,640.0,470.0,134889.0,723.0,681.0,1292,1077,319715,329854,539621.0,651302.0,99617,128094,98.8,101.9,104,105.7,,101.9,102.2,,,,93.4,93.4,93.2,94.5,,3.7121,3222.8798828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
August 2023 Second Open Bidding Exercise,2023-08-23,2023,636.0,100000.0,908.0,616.0,478.0,129890.0,731.0,681.0,1177,1318,319933,329816,539621.0,651302.0,97652,122414,98.3,100.1,101.6,102.8,,99.4,97.5,,,,93,93.4,92.3,94.5,,3.6265,3174.179931640625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,20000.0,0.0
