date,quota,quota_premium,quota_premium_growth_rate,overdemand,overdemand_growth_rate,quota_cat_b,quota_premium_cat_b,quota_premium_cat_b_growth_rate,overdemand_cat_b_growth_rate,sora_1m,sti_close,sti_close_growth_rate,policy_catA_is_cc_only_1600,policy_catA_is_cc_mpo_97,policy_catA_is_cc_mpo_97_or_ev110,policy_vgr_annual_percent,policy_car_loan_tenure_cap_years,policy_car_loan_ltv_cap_omv_le_20000,policy_car_loan_ltv_cap_omv_gt_20000,policy_tdsr_threshold,policy_arf_is_flat_100pct,policy_arf_is_tiered_100_140_180,policy_arf_is_plus_220_over_80k,policy_arf_is_revised_2023_plus_320_over_80k,policy_parf_rebate_cap,policy_ves_active,policy_eeai_active,policy_eeai_arf_rebate_cap,policy_ev_arf_floor_zero_active,gtrends_coe,gtrends_sgcarmart,cat_a_divide_cat_b,cpi_all_growth_rate_lag_3,cpi_transport_growth_rate_lag_3,cpi_private_transport_growth_rate_lag_3,cpi_cars_growth_rate_lag_3,cpi_petrol_growth_rate_lag_3,cpi_lubricants_growth_rate_lag_3,cpi_land_transport_growth_rate_lag_3,cpi_bus_train_fare_growth_rate_lag_3,cpi_ptp_transport_services_growth_rate_lag_3,cpi_commuting_fares_growth_rate_lag_3,regis_cat_a_growth_rate_lag_3,regis_cat_b_growth_rate_lag_3,total_cars_cat_a_growth_rate_lag_3,total_cars_cat_b_growth_rate_lag_3,deregis_cat_a_lag_3,deregis_cat_a_growth_rate_lag_3,total_cars_cat_a_lag_3,total_cars_cat_b_lag_3,quota_per_bid_lag_-1,quota_per_bid_growth_rate_lag_-1,pqp_cat_a_lag_1,pqp_cat_b_lag_1,pqp_cat_a_growth_rate_lag_1,pqp_cat_b_growth_rate_lag_1
2026-01-21,1301.0,109501.0,7.344449999509847,1.7701767870868563,37.19403928869784,803.0,121634.0,2.1276238455079763,9.801895374614697,1.1241,4809.8798828125,1.3113889504260254,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0,62.0,27.0,0.9002499301182235,0.2952755905511923,0.967117988394584,-0.2890173410404597,0.0,-0.2034587995930853,0.1996007984031964,0.9433962264150944,0.7554296506137839,1.1267605633802844,0.0,40.94845360824742,50.41279669762642,0.2303846584337574,0.2641504943897766,2677.0,15.837299870186069,322377.0,337060.0,,,107571.0,120772.0,-5.642784463703028,-4.248757244452197
2026-01-07,1285.0,102009.0,-6.841946648889051,1.290272373540856,0.5111994689082237,824.0,119100.0,3.4734409480287045,18.50878600657948,1.1756,4747.6201171875,3.7622312293696134,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0,62.0,27.0,0.8564987405541562,0.2961500493583387,-1.3358778625954115,-1.890359168241966,-4.043126684636119,1.5495867768595042,1.4170040485830018,0.5692599620493305,0.0,1.3320647002854478,0.0,14.928909952606634,5.901639344262295,0.0354563606844943,0.0181487663301706,2311.0,-13.510479041916168,321636.0,336172.0,1277.0,1.0284810126582278,114004.0,126131.0,-1.7206896551724138,-3.245577699022721
2025-12-17,1283.0,109501.0,3.8780795537552297,1.2837100545596258,5.533003843052099,838.0,115102.0,-7.1008878127522195,-15.473058899360655,1.1886,4575.47998046875,0.4602013131486288,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,58.0,25.0,0.9513388125314938,0.2961500493583387,-1.3358778625954115,-1.890359168241966,-4.043126684636119,1.5495867768595042,1.4170040485830018,0.5692599620493305,0.0,1.3320647002854478,0.0,14.928909952606634,5.901639344262295,0.0354563606844943,0.0181487663301706,2311.0,-13.510479041916168,321636.0,336172.0,1277.0,1.0284810126582278,114004.0,126131.0,-1.7206896551724138,-3.245577699022721
2025-12-03,1280.0,105413.0,-3.2908256880733946,1.21640625,-1.5071183837429225,802.0,123900.0,-4.611594426052814,-27.247930372220058,1.1212,4554.52001953125,1.0942817961498872,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,58.0,25.0,0.8507909604519774,0.0,1.0607521697203417,1.244019138755978,2.58064516129032,-0.8196721311475381,-0.5035246727089627,-0.4721435316336166,0.0,-1.221804511278206,0.0,-16.33624107850912,-14.685314685314683,-0.174488642714323,-0.0538222735004103,2672.0,18.07335395492709,321522.0,336111.0,1277.0,1.0284810126582278,116000.0,130362.0,1.824055055213216,-0.3828431260172852
2025-11-19,1285.0,109000.0,-0.9108925292267414,1.2350194552529183,-4.1060993721574786,806.0,129890.0,12.946843940487474,57.684105827490065,1.1059,4505.22021484375,1.994514419325905,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,68.0,23.0,0.8391716067441681,0.0,1.0607521697203417,1.244019138755978,2.58064516129032,-0.8196721311475381,-0.5035246727089627,-0.4721435316336166,0.0,-1.221804511278206,0.0,-16.33624107850912,-14.685314685314683,-0.174488642714323,-0.0538222735004103,2672.0,18.07335395492709,321522.0,336111.0,1277.0,1.0284810126582278,116000.0,130362.0,1.824055055213216,-0.3828431260172852
2025-11-05,1306.0,110002.0,-9.834426229508196,1.2879019908116387,-16.8884386010782,800.0,115001.0,-12.804706988452413,-1.3591351074718654,1.236,4417.1201171875,0.0192492228167749,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,68.0,23.0,0.9565308127755411,0.2970297029702942,1.56709108716945,2.0507812499999947,3.5305343511450413,0.4115226337448471,0.4044489383215282,1.0496183206106953,0.0,2.603664416586309,0.0,-8.523757707653248,14.583333333333334,-0.1305406117734608,0.0508745362533135,2263.0,-21.722587340020755,322084.0,336292.0,1277.0,1.0284810126582278,113922.0,130863.0,7.535468524339478,4.5523908440858065
2025-10-23,1270.0,122000.0,-4.7656219507435305,1.5496062992125983,-23.604168452504855,809.0,131889.0,-6.461702127659574,-16.608906869268154,1.2784,4416.27001953125,-0.898274059437011,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,69.0,25.0,0.9250202822070074,0.2970297029702942,1.56709108716945,2.0507812499999947,3.5305343511450413,0.4115226337448471,0.4044489383215282,1.0496183206106953,0.0,2.603664416586309,0.0,-8.523757707653248,14.583333333333334,-0.1305406117734608,0.0508745362533135,2263.0,-21.722587340020755,322084.0,336292.0,1277.0,1.0284810126582278,113922.0,130863.0,7.535468524339478,4.5523908440858065
2025-10-08,1268.0,128105.0,7.6485466752939,2.028391167192429,2.3448458813474624,830.0,141000.0,3.002410694718387,-9.90033977228631,1.3206,4456.2998046875,3.064911399655408,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,69.0,25.0,0.9085460992907801,0.5976095617529823,0.2946954813359501,0.0,1.0607521697203417,-2.3115577889447207,-0.7028112449799083,1.0607521697203417,0.0,2.369200394866738,0.0,4.352763058289175,-4.5385007649158595,-0.0415324867731427,-0.044904125231955,2891.0,31.948881789137378,322505.0,336121.0,1264.0,0.9584664536741214,105939.0,125165.0,5.261118397519971,4.846748590623141
2025-09-17,1272.0,119003.0,10.301328216963732,1.981918238993711,37.03610383497728,792.0,136890.0,7.363863812832841,7.064532338562689,1.3057,4323.77978515625,0.8031488928058679,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,66.0,26.0,0.8693330411279129,0.5976095617529823,0.2946954813359501,0.0,1.0607521697203417,-2.3115577889447207,-0.7028112449799083,1.0607521697203417,0.0,2.369200394866738,0.0,4.352763058289175,-4.5385007649158595,-0.0415324867731427,-0.044904125231955,2891.0,31.948881789137378,322505.0,336121.0,1264.0,0.9584664536741214,105939.0,125165.0,5.261118397519971,4.846748590623141
2025-09-03,1275.0,107889.0,3.219356320079599,1.4462745098039216,-4.886005182510054,790.0,127501.0,2.492765273311897,-2.620595278823131,1.3144,4289.330078125,1.6539726703957522,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0,66.0,26.0,0.8461815985756974,-0.4955401387512388,0.1968503937007902,0.8866995073891681,1.368523949169116,0.1006036217303765,0.707785642062678,-0.765550239234447,0.0,-1.8410852713178347,0.0,2.7615713730066123,-3.351404632824051,0.1399803841235552,0.0270687516546146,2191.0,-4.23951048951049,322639.0,336272.0,1264.0,0.9584664536741214,100644.0,119379.0,0.1701949777552178,1.5628456211396775
